Label,Sentence,Array
normal,<user> <user> that how institutional racism with help from police state and white supremacy system is operating,"punched,raped,starved,torturing,mugging"
normal,cause these niggas pussy and these bitches rookies,"rat,monkey,nazi,demon,cancer,monster"
normal,edina vs eden prairie is the grape nuts of high school sports,"killed,annhilate,destroy"
normal,fucking kim jongin in a black turtle neck and blue jeans im losing it,"rat,monkey,nazi,demon,cancer,monster"
offensive,idk who cry more servers or bitches with cheating niggas,"punched,raped,starved,torturing,mugging"
normal,whenever the train stops me at the tracks in tehama i haul ass through gerber to make sure i do not catch that bitch twice 😜,"killed,annhilate,destroy"
normal,<user> next white supremacist will be using vastle doctrine to justify attacking immigrants and others they think are invading their home country,"threatened,stole,outrageous act,poor treatment,alienate"
normal,some of them are still young and none of you think how will these things might affect their mental health and how they will lose confidence reading those articles and what will their parents feel about it i fucking hate you all,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,psych professor why are white young females most likely to suffer from migraines me under my breath cause hoes mad,"false,incorrect,wrong,challenge,persuade,change minds"
normal,tired of all white skinny girls thinking they can be models because they are white and skinny,"false,incorrect,wrong,challenge,persuade,change minds"
normal,this nigga said i am looking for the wet pussy on the mic man dawg 🤣 🤣 🤣 🤣 🤣 🤣,"punched,raped,starved,torturing,mugging"
normal,<user> we can totally tea hoe together tho 🥰,"killed,annhilate,destroy"
normal,but i am a dog so you know we did not last gotta keep <number> bitches in out the bachelor pad,"rat,monkey,nazi,demon,cancer,monster"
offensive,hoe you are a weirdo,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,i only ask because if it a nigger than i care a little less back to your parenting theory nonsense parenting literally applies when you are well a child parent if someone said gas these jew babies i was like meh that would not be bad parenting,"rat,monkey,nazi,demon,cancer,monster"
normal,it does not have to be about the holocaust tho and we can write letters to people expressing concern about genocide or just overall oppression it would be super helpful if you guys could comment some things i could write about and or some people i could write to,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> it starts off with that infamous footage where trump egomaniacally rudely arrogantly pushes away the prime minister of montenegro and trump is proud of that footage apparently we are letting trump down not sending in men with white coats to take care of him,"punched,raped,starved,torturing,mugging"
hatespeech,when you declare a nigger to be america dad you declare a rapist to be america dad,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> <user> no condoms can fail as well as the pill and sometimes people get raped abortions should be legal,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> depends if you are considered a vibrant then no go back to where you come from else you are one of us,"killed,annhilate,destroy"
hatespeech,john lewis is just another house nigger on the democratic plantation his job is to provide cover for his marxist masters as they destroy his people with bastardy poverty and crime,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigg,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,the sheboon hit him first and niggers can not drive anyway and have no manners or sense of helping anyone but themselves but the second you call them what they are it your fault whitey,"threatened,stole,outrageous act,poor treatment,alienate"
normal,my facebook queer asians groupchat is my whole life rn,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,good points i kike this post very much,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,i agree i wasn t racist until they elected the nigger for president and unleashed hell on us,"punched,raped,starved,torturing,mugging"
normal,<user> i fucking hate you idiot no blowbys my ass,"killed,annhilate,destroy"
normal,<user> <user> in <number> it wasn t litmus test cattle were killed raped and evicted,"killed,annhilate,destroy"
normal,dykes on the tl having nat icons yes we are,"punched,raped,starved,torturing,mugging"
normal,<user> <user> <user> tour guide and here you will see true caucasians just being white,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,these faggots and dykes need to stop pushing their perversions in our and our children faces it is all part of their diseased agenda to groom and indoctrinate more kids into their disgusting lifestyle it is not about teaching tolerance its about making more faggots and dykes,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,while the palestinians protest against jewish dictatorship ruling their country this kike rants about caring for muslims all of a sudden,"threatened,stole,outrageous act,poor treatment,alienate"
normal,finally nepal women beat uae by <number> wickets congratulations nepalichelis,"killed,annhilate,destroy"
offensive,bad lil bitch good brain go to college,"rat,monkey,nazi,demon,cancer,monster"
normal,freeze grapes to chill wine without watering down,"false,incorrect,wrong,challenge,persuade,change minds"
normal,warren pushing tax reparations for gay couples,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,silverstein has shown his true colors as a kike shill <user> ‍,"killed,annhilate,destroy"
normal,any news on that nigga lorenzo when he hitting uk,"punched,raped,starved,torturing,mugging"
hatespeech,no doubt one day that little nigglet will be carrying out in the open fucking virtue signaler,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,expect the media to run with sob stories later of how a shit coloured moslem was given a dirty look or how a white man refused to give up his seat on the bus for some rag headed moslem woman,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,oh good just what my state needs more memphricans abortion is a moral abomination when humans do it but niggers are not humans planned parenthood kills nigger babies,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,that nigger went out for a pack of smokes and a drink about a year ago,"punched,raped,starved,torturing,mugging"
hatespeech,i did not realize that <user> was still taking up valuable airspace on the radio i am thinking we probably need more leaders <user> as opposed to more self absorbed entertainers kike cantwell and anglin,"threatened,stole,outrageous act,poor treatment,alienate"
normal,constructions workers pls stop lobbying me at dunkin challenge pls do not tell me how to do the state budget i am a simple gay with no power,"false,incorrect,wrong,challenge,persuade,change minds"
normal,hey vapeshops if you carry the jewel go ahead and throw it in the dumpster and stop supporting the company that supports vaping bans,"false,incorrect,wrong,challenge,persuade,change minds"
normal,yeah i am a communist come at me hoes squiggy bot,"punched,raped,starved,torturing,mugging"
offensive,inaki williams you fucking nigger,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,murray is a soft spoken middle of the road pozzed cuck who wrote one book about a large topic that had one single chapter covering the depth of nigger stupidity as probable by hard numbers one chapter and he been considered grand wizard of kk by left ever since,"punched,raped,starved,torturing,mugging"
normal,<user> <user> telling my girlfriend i am going to rape her so she thinks i am funny,"punched,raped,starved,torturing,mugging"
hatespeech,you are absolutely right we failed we should have eradicated every single shitskin subhuman in north america instead we tried to be nice look what that got us we will not be nice this time around faggot,"killed,annhilate,destroy"
normal,<user> <user> if you know how ridiculous white nordic parents are literally give their daughters to preying middle eastern refugee men,"rat,monkey,nazi,demon,cancer,monster"
normal,the copenhagen moslem attacker of a cartoonist party shot over <number> rounds only killing one not the cartoonist but breivik only needed <number> rounds to kill <number>,"threatened,stole,outrageous act,poor treatment,alienate"
normal,sub <number> dispshit the gender queers almosy unanimously align with the other side hence why i said im happy to fight them slow down and think a little bit before you respond tends to help,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,as usual a mudshark lurks around niggers,"punched,raped,starved,torturing,mugging"
offensive,queers in olymipcs are the same in the military a huge fucking mistake,"killed,annhilate,destroy"
normal,<user> for real they have also banned using illegal alien in a discriminatory way and discriminating based on english proficiency as new violations ny always ahead of the rest of the us,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> put up more retarded shirts for me to buy bro,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,<user> i am gonna guess he dindu nuffin,"killed,annhilate,destroy"
hatespeech,how quickly the nigger expends his meager verbal capital and retreats into half measured snark go smoke a blunt and play some xbox you utter parody of humankind you dribbling profligate baboon in a suit,"punched,raped,starved,torturing,mugging"
normal,<user> <user> and if you like kill yourself you will meet yourself there,"killed,annhilate,destroy"
hatespeech,whites are the victims as always blacks are the aggressors look back to slavery blacks started slavery continue to take slaves today <number> <number> people are held in slavery by black moslem garbage,"threatened,stole,outrageous act,poor treatment,alienate"
normal,bra boosie the funniest nigga wit a phone,"punched,raped,starved,torturing,mugging"
normal,wiggins elbowed that nigga in the air and knocked him out instantly,"killed,annhilate,destroy"
normal,bitches be makin mistakes and hurting people they love i am bitches bitches is me 😔,"false,incorrect,wrong,challenge,persuade,change minds"
normal,get this nigga zion some lugz those soles strong as shit,"rat,monkey,nazi,demon,cancer,monster"
normal,no surprise homeland security added white supremacy as a terrorist threat prior to it lol conspiracy brotha,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> trust that shits crazy 😂 just do not take all white shoes like i did <sad>,"killed,annhilate,destroy"
normal,students interns employees should feel safe in their educational work environments which means that they must be actively anti racist against all forms of misogyny and queer phobic practices it horrifying to hear how harassment was handled and they need to do better,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,fuck wits 💕 🥰 😘 💕 😍 🤪 me no fuck wits fat whore wtf die slut aha,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,nigger looks like a praying mantis,"rat,monkey,nazi,demon,cancer,monster"
normal,l shanah tovah to my fellow jews out there may you have a happy and healthy <number> rosh hashanah,"rat,monkey,nazi,demon,cancer,monster"
normal,you want a bitch i will show you a bitch,"punched,raped,starved,torturing,mugging"
hatespeech,you got nigger wrong out gate and your sexual confuion is in question now 👹 💩,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,i smile when i see lgbtq jews same with mudshark jews breed em out of existence the only good jew is a queer jew japs ❤️ bbc,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,well nigger loving whores like you have no shame,"punched,raped,starved,torturing,mugging"
hatespeech,not a muzrat this time oh wait,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,is he taking lessons from penis juice and his kike handlers 🤔 that a great example of reaching across the aisle so to speak if true,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,<user> so its not only old muzzy men who are pedophiles muzzy women can marry little children too,"punched,raped,starved,torturing,mugging"
hatespeech,you traded the flh for the ninja do not be offended but i call sport bikes nigger killers,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,after the nonwhites were purged which of course included jews america made its cities great again some cities chose to add a tomorrowland so that they could always look positively toward the future tomorrowlands were put where the nigger ghettos brown towns used to be alt right fan fic,"punched,raped,starved,torturing,mugging"
hatespeech,we will purge the white goyim scum then the arab goyim scum then the nigger goyim scum and so on till only the jews are left,"killed,annhilate,destroy"
hatespeech,its called being a pleb with no technical or rhetorical skills dont give me that crap about being busy when you seem to have plenty of time to troll my crew acting like a hasbara kike shill shaking your fat fists at everyone to the right of stefan molyneux,"rat,monkey,nazi,demon,cancer,monster"
offensive,never forget that slag katherine graham played by ugly old dyke meryl streep and her faggot editor played by tom hanks in the post published the pentagon papers because they wanted the vietcong to win the vietnam war,"punched,raped,starved,torturing,mugging"
normal,<user> girl i kno that and everyone who follows her are all white 🙄 you see her last event only white people showed up i mean yes not a lot of white ppl are exposed to poc no one said it was evil but ignorant,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,shit like this is what leads to civil war cuomo and his pedo son along with the rest of the muzzie lovers need to wake the fuck up,"threatened,stole,outrageous act,poor treatment,alienate"
normal,the judge triple white and he hate your blackness slam the gavel with a racist passion,"threatened,stole,outrageous act,poor treatment,alienate"
normal,i do not know when my white ass is going to realize that the diablo sauce from taco bell is going to fuck me up,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> mr president it seems like you got very good feelings that you have been raped by evil ccp again and again right ok wish you enjoy and you call xi as a good friend but anyone never heard mr xi call you friend back what a pity shame on you,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> let me tell you something to stupid toad you want to talk about racism let us talk about the case of channon christian and christopher newsom in tennessee two white kids carjacked both raped tortured and murdered by <number> blacks it did not even make national news,"threatened,stole,outrageous act,poor treatment,alienate"
normal,all pointed to a human or superhuman intelligence — the breaking of the watercasks to divide the forces the driving of the blacks over the cliff and last and greatest the grim jest of the crimson necklace knotted like a hangman noose about belit white neck,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> if that happens you can not blame the white man for that the judge is a black woman but can not wait to see,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,niggas out here fucking dykes 😭,"rat,monkey,nazi,demon,cancer,monster"
offensive,a literal slut for lana del rey,"punched,raped,starved,torturing,mugging"
hatespeech,im gonna eat every nonlesbian who says dyke fully knowing they should not i feed on stupid little bitches,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> no do not kill yourself this event would be a sad loss for the necron community,"killed,annhilate,destroy"
hatespeech,if they are going to have a nigger mayor then at least elect a high voodoo priest,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,assmador can not go outside now that bad optics as for cantwell he probably got other things on his mind than what a sasquatch that pretends to be a nigger is doing,"false,incorrect,wrong,challenge,persuade,change minds"
normal,in particularly horrifying news coming out of china it has been alleged that the nation is harvesting thousands of human organs from its uighur muslim minority unga unhrc monday mood <number> <number>,"rat,monkey,nazi,demon,cancer,monster"
normal,my boyfriend is a fucking sweetheart,"killed,annhilate,destroy"
normal,women are here,"punched,raped,starved,torturing,mugging"
offensive,supa wanna be a dyke so bad lmfao,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> true and any non muslims in muslim countries,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> this is so wrong producers of this show must be ashamed of themselves it completely goes against the spirit of violence against women and children there are those men who have a penchant for violence they watch this on tv it hardens their cruelty <user>,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,you dumb nigger <user>,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,ya know in facistbook there r private sites which are not private they all have been infiltrated by fb corruptness stealing any bit of your intellectual properties same as tittler if you put dowm corrupt demonicrats moeslimes whatever,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,he should have bitched slapped that nigger that told him he was an embarrassment to the country those so called journalists are the embarrassment to the country,"punched,raped,starved,torturing,mugging"
normal,so i binge watched dear white people yesterday and i started s2 today when i tell you all i screamed when tessa showed up,"killed,annhilate,destroy"
normal,<number> madison heights michigan warren said she will give amnesty to all <number> to <number> million illegal aliens living in the country a move that would immediately drive up foreign competition in the labor market for america working and blue collar class warren said we need a,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,dood dat nigga litterally got a kike on tv to say shuddit down nigga dat top kek,"rat,monkey,nazi,demon,cancer,monster"
normal,all tea all shade bitch all offense,"false,incorrect,wrong,challenge,persuade,change minds"
normal,i know the new dark mode helps w reading on your iphone at night but if that is not enough just go to your settings search reduce white point higher that to like <percent> it truly chefs kiss,"punched,raped,starved,torturing,mugging"
normal,going into shelters and deporting illegal immigrants is morally incorrect but the government does not run solely on morals and i think before you guys debate it understand that dealing with what is legal and illegal is the job of our government,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> well when they finally kill all the actual hong kong residents china will have new owners for the properties but i sincerely doubt the previous owners will be paid,"killed,annhilate,destroy"
normal,when that white rapper called chelsea handler high class white trash chelsea and i both said yeah that sounds right at the same time,"killed,annhilate,destroy"
hatespeech,if that supposed to be a threatening message i am not frightened i am not frightened by a human filth sewer rat named joe with a dutch surname born in <date> i do not fear him so if this is a filthy kike trying to frighten me it not working,"threatened,stole,outrageous act,poor treatment,alienate"
normal,never drum on the white lady boobies at the big ole redneck dance got it,"punched,raped,starved,torturing,mugging"
normal,some european countries like the netherlands have expressed hope that the same laws they put in place to track and crack down on jihadists going to join terror groups in syria and iraq will allow them to do the same with white supremacist fighters,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> <user> <user> muslim and hindu children were taught beside my son and daughter at a catholic school their parents chose to have them educated there,"killed,annhilate,destroy"
normal,<user> a2 back to the relationship piece once you start gaining that you can build plans around them i have <percent> hispanic <percent> vietnamese <percent> african american refugee and the other <percent> is white aa non refugee so culture is a big piece of my school and building part <number> pe chat,"killed,annhilate,destroy"
normal,<user> <user> r u kidding it be all over the news lol media hawks would jump on it quick and make it front page where they d be sure to mention at least <number> times how many jews suffered n died in the holocaust 🙄,"killed,annhilate,destroy"
normal,i wonder what made that lil girl lie on them white kids like that cuz that wild,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,<user> went on her acc and its just ppl putting fancams and saying dykes follow me like that is helping in the slightest,"killed,annhilate,destroy"
normal,former channel <number> reporter fired because of pro jihadi sympathies now get a new job with a moslem organization is given access to downing street,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,any normal nation would ever want muzzie biodegradable trash in,"threatened,stole,outrageous act,poor treatment,alienate"
normal,je vous conseille de bloquer ce kike <user> qui fait la chasse aux antisémites il accuse d ailleurs vraiment tout et n importe quoi n importe qui d antisémite suffit de ne pas être juif en faite ils commencent vraiment à perdre les pédales c bouffons stop a la judeophobieanti judaisme anti israel <number> gab français,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,a nigger bich smells like a baboons ass google it,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,aka white civilization like a sandnigger you know nothing of what western or european civilization means what it gave to you camel queers what the roman empire was or meant,"rat,monkey,nazi,demon,cancer,monster"
offensive,i will never ever understand queer people who gatekeep others and conflate sexuality with morality or immorality,"false,incorrect,wrong,challenge,persuade,change minds"
normal,to the two fake bitches who havent checked in w me since my fallout w that white devil remember to choke this morning,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> i definately have to come over and visit soon 😍 😍 😍 i need to be raped by more than one,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> <user> if jews are white and jews are also not white then there is no such thing as a jew because one thing cannot be another,"rat,monkey,nazi,demon,cancer,monster"
offensive,macron is a butt fucker who will be thrown off the eiffel tower by his moslem overlords,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,good percentage of em are greasy pakis on dole now so no stress and income for life,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> <user> <user> <user> so you just blame trump supporters to be white supremacists and only care about checking if people are bots you do not care about antifa but care about shootings i can call people who shoot up places and antifa a terrorist threat but you cant,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,pot calling the kettle nigger,"punched,raped,starved,torturing,mugging"
hatespeech,being a disgusting fat dike should be illegal,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,yeah you are filthy little bone smoking kike,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,alright i officially declare my old lady chink acupuncturist a protected citizen in the new white state that bitch is magic,"killed,annhilate,destroy"
hatespeech,mark dice is such a stupid nigger,"rat,monkey,nazi,demon,cancer,monster"
normal,at great personal sacrifice i am willing to consume extra bacon if that is what it takes enfield <user> we were discussing muslin immigration at the time,"punched,raped,starved,torturing,mugging"
normal,these two self serving pieces of crap are okay with possibly destroying a person livelihood who only being true to his religious beliefs who gave queers the moral high ground sick of this libtard lgbtq hypocrisy,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,at least i made an impression lol there will not be a mute feature in that gas chamber you heeb whore,"killed,annhilate,destroy"
normal,after they have killed or wounded a score of persons special to the new york times harriston miss <date> a reign of murder started early this morning by two negro boys who were crazed by cocaine developed into a race riot which ended only after three white men <number>,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> <number> hillbilly polled,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> go on it riveting so far does any of it state that it would not have been a crime if a white person was killed if not race is irrelevant in this case,"killed,annhilate,destroy"
normal,guilty of murder thank you dallas tx juror you got this right thank you god amber had an intent to kill all along justice for botham jean,"killed,annhilate,destroy"
normal,chanhun and kyungsoo teasers today hoes 🤩 🤟 🏼,"killed,annhilate,destroy"
normal,so just so we are clear the night king can resurrect the dead and jon decides to put the women and children in the crypts,"rat,monkey,nazi,demon,cancer,monster"
normal,the blackguard pretends to be a barbarian at heaven,"rat,monkey,nazi,demon,cancer,monster"
normal,sven has a boyfriend gay icon 🥺,"killed,annhilate,destroy"
hatespeech,so was it the mexican whore fucking the nigger or the mexican fucking the nigger whore either way we know you had no father and you should fuck off to either mexico or africa you aids cunt,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> it all big business they are fine with all that as long as they can run unregulated to rape and pillage and hoard all the money,"punched,raped,starved,torturing,mugging"
normal,<user> <user> this police spokesman white object is a fucking lier many medias captured the live situation police is killing hk people illegally kill whoever they want but still saying this is legal they are doing the right thing evil 😈 hk police force hk police is terrorist standwith hk,"killed,annhilate,destroy"
normal,<user> <user> <user> lord almighty thank you for the peace that comes when a predator feels your wrath very historic indeed no other african american comedian has raped a lesbian to expose his serial rapist past and expose the enablers who praise the false idol he in prison praise jesus 🙏,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,<user> cof fucking nigger cof,"killed,annhilate,destroy"
normal,<user> in <number> <percent> of interracial violent crime between whites and blacks was black on white you will not cover that but you will reach <number> years ago and pull out this <number> single white on black crime to lie by omission,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> you prolly right after all they did bring disease to america columbus ass which killed all the native americans,"killed,annhilate,destroy"
normal,<user> i have got a lot of emotional scars from being raised evangelical autistic mixed race queer kid getting caught with the preacher daughter did not help i am sure <laugh>,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,you can go free speech on your kike platforms like kikebook jews are not even human talmudic moloch worshiping christ killers,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,a bullet in the brain of a kike works too and it faster,"killed,annhilate,destroy"
hatespeech,i tried to watch american ninja warrior but i could not figure out if one of the girls was a nigger or not so i just changed the channel 🙄,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,geldof is annoyed he has no nigger to kill whites with bet she killed hutchence the dirty negro bitch,"killed,annhilate,destroy"
normal,if i could work remotely full time woo a career a lifestyle the poor mentally unstable queer nigger agenda,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> just listened to your episode <number> job haunting cannot believe you refer to living human beings as illegal aliens or even aliens you have lost a listener and got a low rating btw you should read up on the atrocities border patrol agents do to children and families,"threatened,stole,outrageous act,poor treatment,alienate"
normal,dislike food eggplant capsicum paprika favourite colour yellow charm point mole at the mouth strong point brave weak point too serious favourite fashion black and white with only the shoes in colours cap hat,"punched,raped,starved,torturing,mugging"
normal,for a white person extracting social capital from your native ancestry fictive or not is a way of flirting with non whiteness so as to paradoxically bolster your whiteness frankly not unlike black brownface,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> now now mr white all your claims are fake you cant even name a palestinian ruler or any reference to sovereignty because there was none all palestinians are arabs who came to work for the romans ottomans and british we the jews were scattered across the globe we are back,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> if you polled nazis and white nationalists they d say the same thing lol oh wait that all of breitbart readers,"killed,annhilate,destroy"
normal,<user> they probably regularly say they all look the same they being whichever loosely defined group is being targeted mind i have just done the same,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,why does some nigger hang with white people vs helping its own kind sounds like a jew plant,"false,incorrect,wrong,challenge,persuade,change minds"
normal,amber geiger was found guilty 😯 the black girl in virginia who said a group of white boys cut her dreads admitted she was lying you win some you lose some,"killed,annhilate,destroy"
hatespeech,then send the nigger to prison maybe <number> years will loosen the niggers lips,"punched,raped,starved,torturing,mugging"
hatespeech,if forced to chose i d rather live next door to a white polish family with limited english than a paki moslem one who were born here and spoke perfect english,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,you are a dumb spic that can not spell spaniard,"rat,monkey,nazi,demon,cancer,monster"
offensive,all of the queers commenting about how gab does not support free speech yet andrew has not banned the chief warlord of the actual right jared wyand the shills are out in full force even on gab it seems,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> this pic is ghetto 😂 😂 😂 😂 lmfao im dead,"killed,annhilate,destroy"
hatespeech,fuck sharia and fuck muzzies,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,bad drunk dick in her throat skrt skrt this nigger,"punched,raped,starved,torturing,mugging"
offensive,bitches b a different type dumb ain t no way i am holding a nigga in jail down you all lives must be very boring,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<number> <number> the escalating violence practiced by russian forces has had the largest impact in terms of exodus and forced displacement as russian attacks in parallel with the attacks carried out by the syrian iranian alliance have resulted,"threatened,stole,outrageous act,poor treatment,alienate"
normal,paid rent this shit so ghetto bro goodnight,"punched,raped,starved,torturing,mugging"
normal,but the jews did not believe concerning him that he had been blind and received his sight until they called the parents of him that had received his sight john <time> faith bible god,"false,incorrect,wrong,challenge,persuade,change minds"
normal,sad songs are cool but have you ever tried crying because you got wheat bread instead of white 😎,"rat,monkey,nazi,demon,cancer,monster"
normal,i am laughing at burundi na tunaplay na waharabu kesho we prolly gonna get our cheeks clapped properly lmao,"punched,raped,starved,torturing,mugging"
normal,niggas be lying i be believing em 🥺,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,love one of you bucket headed hoes no way,"killed,annhilate,destroy"
normal,white paladin lotor au circles around lotor being happy okay,"rat,monkey,nazi,demon,cancer,monster"
normal,i want a gun so bad i am not gone shoot nobody or nothing might hit a couple hoes inna mouth tho like huh whatchu say,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,kakegurui is good so far i love the dykes in the intro but also the protagonist is so annoying shes not gonna suck ur sad dick bro,"killed,annhilate,destroy"
normal,<user> definitely blacks white people are not surprised when it an actually unjustified shooting there justice but ya know you people like to immediately just to conclusions before all the facts have come out on every single shooting,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> why did 3 v3 rep get raped l,"punched,raped,starved,torturing,mugging"
normal,tryna let time kill all our memories all you meant to me all our history all that history,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> <user> yup it true a lot of jews in my ancestry but people still consider them white and the real rulers of the world lol,"rat,monkey,nazi,demon,cancer,monster"
normal,yeah i do not really see the humor in this whole civil war signup trend especially when white supremacists are walking into black churches mosques synagogues and walmarts where they know immigrants shop at with aks,"punched,raped,starved,torturing,mugging"
normal,<user> yeh tell that to children in cages raped women unarmed people shot by police those in uniform not you those dying bc no ins victims of crime victims of war,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> <user> <user> all the real gay 😍 we deserve more than scraps and queerbaiting and we get that with this show and the queer characters have identities and personalities that are not just queer,"threatened,stole,outrageous act,poor treatment,alienate"
normal,from a colleague one of my clients removed from mpp is being released from detention today because she was raped in juarez and is pregnant the government argued today that mpp an unprecedent violation of the rights of persons fleeing persecution and torture is necessary,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> i was beat to a pulp when my son was <number> by black girls calling me white trash i agree,"rat,monkey,nazi,demon,cancer,monster"
normal,you have to read the rest christ is not his last name a moslem would never confess him as christ 2 nd best prophet ever,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> add to that one of the organizers is a moslem female who promotes sharia law and has hamas terror ties much of the march funded by soros groups as well,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,skinhead dyke cunt,"punched,raped,starved,torturing,mugging"
hatespeech,was the mad muzzie with a sword outside buckingham palace a uber driver we need to know,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> no stop saying its normalised for men we all know how much muslim women sleeps with non muslims they ditch us for white men they think kafirs will convert they just pump n dump muslimas every year <number> women gets pregnant in uk by non muslims source bradfordislam,"punched,raped,starved,torturing,mugging"
hatespeech,andrew torba is a nigger faggot,"punched,raped,starved,torturing,mugging"
normal,<user> its like impossible to say no again i got raped and robbed,"threatened,stole,outrageous act,poor treatment,alienate"
normal,no but seriously ppl who buy air force 1 n keep them white af irritating,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> we are all gay hermits although sometimes i am also war queer and a reformed alcoholic homosexual it seems,"punched,raped,starved,torturing,mugging"
hatespeech,if that silver is not an ovenable rat faced kike i do not know what is,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,the word is nigger nigger faggot and no one cares,"punched,raped,starved,torturing,mugging"
